temp,feelslike,dew,humidity,precip,precipprob,snow,snowdepth,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,uvindex,conditions_Clear,conditions_Overcast,conditions_Partly_cloudy,conditions_Rain_overcast,conditions_Rain_partly_cloudy,conditions_Snow_overcast,conditions_Snow_rain_overcast,preciptype_no_precipitation,preciptype_rain,preciptype_rain_and_snow,preciptype_snow
67.7,67.7,62.9,84.49,0.0,0,0.0,0.0,0.0,6.0,1012.3,95.5,9.9,11.0,0,0,1,0,0,0,0,0,1,0,0,0
69.0,69.0,65.6,89.08,0.0,0,0.0,0.0,0.0,359.0,1012.5,75.0,9.9,49.0,0,0,0,1,0,0,0,0,1,0,0,0
69.8,69.8,66.5,89.34,0.0,0,0.0,0.0,5.2,137.0,1012.2,99.1,8.3,85.0,1,0,1,0,0,0,0,0,1,0,0,0
70.1,70.1,66.7,88.8,0.0,0,0.0,0.0,6.2,222.0,1012.2,64.2,9.9,90.0,1,0,0,1,0,0,0,0,1,0,0,0
71.8,71.8,65.0,78.98,0.0,0,0.0,0.0,4.6,290.0,1011.7,89.1,9.9,221.0,2,0,0,1,0,0,0,0,1,0,0,0
73.9,73.9,62.9,68.71,0.0,0,0.0,0.0,5.3,46.0,1011.6,83.1,9.9,252.0,3,0,0,1,0,0,0,0,1,0,0,0
75.6,75.6,62.1,63.09,0.0,0,0.0,0.0,5.3,348.0,1011.6,88.9,9.9,342.0,3,0,0,1,0,0,0,0,1,0,0,0
75.8,75.8,62.8,64.11,0.0,0,0.0,0.0,3.8,327.0,1011.4,71.9,9.9,443.0,4,0,0,1,0,0,0,0,1,0,0,0
77.9,77.9,61.3,56.83,0.0,0,0.0,0.0,6.4,6.0,1010.9,72.4,9.9,393.0,4,0,0,1,0,0,0,0,1,0,0,0
78.1,78.1,60.2,54.09,0.0,0,0.0,0.0,8.0,349.0,1010.5,81.2,9.9,195.0,2,0,0,1,0,0,0,0,1,0,0,0
77.2,77.2,61.7,58.84,0.0,0,0.0,0.0,3.7,319.0,1010.1,63.6,9.9,235.0,2,0,0,1,0,0,0,0,1,0,0,0
76.8,76.8,61.8,59.82,0.0,0,0.0,0.0,5.2,250.0,1009.7,83.1,9.9,251.0,3,0,0,1,0,0,0,0,1,0,0,0
74.0,74.0,61.8,65.72,0.0,0,0.0,0.0,10.1,252.0,1009.6,82.6,9.9,338.0,3,0,0,1,0,0,0,0,1,0,0,0
72.9,72.9,63.0,71.25,0.001,100,0.0,0.0,12.0,269.0,1010.4,89.4,9.8,76.0,1,0,0,0,0,1,0,0,0,1,0,0
